"movieId","movieTitle","movieYear","movieURL","movieRank","critic_score","audience_score"
"3f297cf0-2e9d-31c0-b566-6676dd8548b2","Titanic",1997,"https://www.rottentomatoes.com/m/titanic",66,"88%","69%"
"8dac915d-9df4-3450-b0e0-1f81a4d774fc","Rain Man",1988,"https://www.rottentomatoes.com/m/rain_man",67,"88%","90%"
"6c8d9731-e49e-3ac6-8bcc-1c8ec14767df","From Here to Eternity",1953,"https://www.rottentomatoes.com/m/1007931-from_here_to_eternity",68,"88%","84%"
"80a45969-31f7-311f-b168-3c64ebf7519c","Gigi",1958,"https://www.rottentomatoes.com/m/gigi",69,"88%","74%"
"4182a2b3-f4ac-335c-ae63-8c27bc3e04fe","American Beauty",1999,"https://www.rottentomatoes.com/m/american_beauty",70,"87%","93%"
"a6481602-e625-3b76-969f-84608819e7b5","Dances With Wolves",1990,"https://www.rottentomatoes.com/m/dances_with_wolves",71,"87%","87%"
"cec4df7d-cf39-34ed-9afe-a5b5d1dad998","Grand Hotel",1932,"https://www.rottentomatoes.com/m/grand_hotel",72,"87%","77%"
"52405035-b766-319c-be6b-193478c53d5a","Chicago",2002,"https://www.rottentomatoes.com/m/chicago",73,"86%","83%"
"d3e4ffc6-d882-3af5-bbb4-1182222bcd14","The Deer Hunter",1978,"https://www.rottentomatoes.com/m/the_deer_hunter",74,"86%","91%"
"d0a47310-13cc-3afe-967f-424b91216963","The Last Emperor",1987,"https://www.rottentomatoes.com/m/last_emperor",75,"86%","88%"
"ad394a5a-c489-32e7-9fc2-406f85228233","The English Patient",1996,"https://www.rottentomatoes.com/m/english_patient",76,"86%","83%"
"87d23bfa-9747-335a-9803-f9c1b42affae","Driving Miss Daisy",1989,"https://www.rottentomatoes.com/m/driving_miss_daisy",77,"85%","81%"
"bb3471ad-c806-35f0-9e19-addf13989d59","Ben-Hur",1959,"https://www.rottentomatoes.com/m/benhur",78,"85%","89%"
"3c1f2b1a-5f03-38f6-b7cb-bad17e7ac38f","Chariots of Fire",1981,"https://www.rottentomatoes.com/m/chariots_of_fire",79,"83%","80%"
